sop_class_name,analysis_result_id,carrier,objects,absent,zero_length,non_empty,absent_or_zero_length,type1_here,type1_violation
RT Structure Set Storage,rider_lungct_seg,DeviceSerialNumber,59,2,57,0,0,no,0
RT Structure Set Storage,rider_lungct_seg,SoftwareVersions,59,0,0,59,0,no,0
RT Structure Set Storage,rider_lungct_seg,ImplementationVersionName,59,0,0,59,0,no,0
RT Structure Set Storage,rider_lungct_seg,ImplementationClassUID,59,0,0,59,0,no,0
RT Structure Set Storage,rider_lungct_seg,ContributingEquipmentSequence,59,0,0,0,59,no,0
RT Structure Set Storage,rider_lungct_seg,ContentCreatorName,59,59,0,0,0,no,0
RT Structure Set Storage,rider_lungct_seg,SeriesDescription,59,0,0,59,0,no,0
Real World Value Mapping Storage,(null),Manufacturer,20,0,0,20,0,no,0
Real World Value Mapping Storage,(null),ManufacturerModelName,20,20,0,0,0,no,0
Real World Value Mapping Storage,(null),DeviceSerialNumber,20,20,0,0,0,no,0
Real World Value Mapping Storage,(null),SoftwareVersions,20,0,0,20,0,no,0
Real World Value Mapping Storage,(null),ImplementationVersionName,20,0,0,20,0,no,0
Real World Value Mapping Storage,(null),ImplementationClassUID,20,0,0,20,0,no,0
Real World Value Mapping Storage,(null),ContributingEquipmentSequence,20,0,0,0,20,no,0
Real World Value Mapping Storage,(null),ContentCreatorName,20,0,20,0,0,no,0
Real World Value Mapping Storage,(null),SeriesDescription,20,0,0,20,0,no,0
Segmentation Storage,(null),Manufacturer,1632,0,0,1632,0,yes,0
Segmentation Storage,(null),ManufacturerModelName,1632,0,0,1632,0,yes,0
Segmentation Storage,(null),DeviceSerialNumber,1632,876,397,359,0,yes,1273
Segmentation Storage,(null),SoftwareVersions,1632,0,0,1632,0,yes,0
Segmentation Storage,(null),ImplementationVersionName,1632,0,0,1632,0,no,0
Segmentation Storage,(null),ImplementationClassUID,1632,0,0,1632,0,no,0
Segmentation Storage,(null),ContributingEquipmentSequence,1632,1632,0,0,0,no,0
Segmentation Storage,(null),ContentCreatorName,1632,0,1183,449,0,no,0
Segmentation Storage,(null),SeriesDescription,1632,25,0,1607,0,no,0
Segmentation Storage,bamf_aimi_annotations,Manufacturer,384,0,0,384,0,yes,0
Segmentation Storage,bamf_aimi_annotations,ManufacturerModelName,384,0,0,384,0,yes,0
Segmentation Storage,bamf_aimi_annotations,DeviceSerialNumber,384,0,0,384,0,yes,0
Segmentation Storage,bamf_aimi_annotations,SoftwareVersions,384,0,0,384,0,yes,0
Segmentation Storage,bamf_aimi_annotations,ImplementationVersionName,384,0,0,384,0,no,0
Segmentation Storage,bamf_aimi_annotations,ImplementationClassUID,384,0,0,384,0,no,0
Segmentation Storage,bamf_aimi_annotations,ContributingEquipmentSequence,384,384,0,0,0,no,0
Segmentation Storage,bamf_aimi_annotations,ContentCreatorName,384,0,0,384,0,no,0
Segmentation Storage,bamf_aimi_annotations,SeriesDescription,384,0,0,384,0,no,0
Segmentation Storage,dicom_lidc_idri_nodules,Manufacturer,384,0,0,384,0,yes,0
Segmentation Storage,dicom_lidc_idri_nodules,ManufacturerModelName,384,0,0,384,0,yes,0
Segmentation Storage,dicom_lidc_idri_nodules,DeviceSerialNumber,384,0,0,384,0,yes,0
Segmentation Storage,dicom_lidc_idri_nodules,SoftwareVersions,384,0,0,384,0,yes,0
Segmentation Storage,dicom_lidc_idri_nodules,ImplementationVersionName,384,0,0,384,0,no,0
Segmentation Storage,dicom_lidc_idri_nodules,ImplementationClassUID,384,0,0,384,0,no,0
Segmentation Storage,dicom_lidc_idri_nodules,ContributingEquipmentSequence,384,384,0,0,0,no,0
Segmentation Storage,dicom_lidc_idri_nodules,ContentCreatorName,384,0,0,384,0,no,0
Segmentation Storage,dicom_lidc_idri_nodules,SeriesDescription,384,0,0,384,0,no,0
Segmentation Storage,eay131_tumor_annotations,Manufacturer,384,0,0,384,0,yes,0
Segmentation Storage,eay131_tumor_annotations,ManufacturerModelName,384,0,0,384,0,yes,0
