series_instance_uid,stratum,writer,analysis_result_id,collection_id,status,objects,instances_declared
1.2.276.0.7230010.3.1.3.1070885483.26444.1599221837.990,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.27140.1599221767.245,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.24056.1599221815.833,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.2.276.0.7230010.3.1.3.17436516.351136.1696966878.301192,dcmqi / bamf_aimi_annotations,dcmqi,bamf_aimi_annotations,tcga_lihc,OK,1,1
1.3.6.1.4.1.14519.5.2.1.100277110812669905110264860647353714925,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.2.276.0.7230010.3.1.3.1231426215.1056.1345551618.459,not identifiable from index / qiba_volct_1b,not identifiable from index,qiba_volct_1b,rider_lung_ct,OK,1,1
1.3.6.1.4.1.14519.5.2.1.25935434664955526157882856949072240176,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.9460.1599221773.50,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.23580.1599221890.67,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.24532.1599221775.720,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.24012.1599221786.269,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.2.276.0.7230010.3.1.3.1070885483.25100.1599221930.643,dcmqi / prostatex_seg_hires,dcmqi,prostatex_seg_hires,prostatex,OK,1,1
1.2.276.0.7230010.3.1.3.481037312.53490.1718923476.775590,dcmqi / pancreas_ct_seg,dcmqi,pancreas_ct_seg,pancreas_ct,OK,1,1
1.2.276.0.7230010.3.1.3.481037312.53527.1718923483.913862,dcmqi / pancreas_ct_seg,dcmqi,pancreas_ct_seg,pancreas_ct,OK,1,1
1.3.6.1.4.1.14519.5.2.1.7695.1700.279896866599169207821795562665,not identifiable from index / (null),not identifiable from index,(null),ispy1,OK,1,1
1.2.276.0.7230010.3.1.3.0.21581.1674506208.255003,dcmqi / (null),dcmqi,(null),ct_lymph_nodes,OK,1,1
1.3.6.1.4.1.14519.5.2.1.207631509620651327806882429280918814102,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.173818706641668687103983810995861793310,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.204023999528797116116101474352990980181,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.292998474611713044361800365833822902303,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.93549259704648063927557526155616867379,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.96571704258219732158409002826483407559,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.322723501966206994826973412517921072551,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.316793729784463732154148006148456463739,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.168629072944357555481311998676371549589,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.70485301732492129675689242452005329738,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
1.3.6.1.4.1.14519.5.2.1.57814516274522372103824378366153227083,highdicom / (null),highdicom,(null),psma_pet_ct_lesions,OK,1,1
